OBJECTID,Zoning_ID,Category,Subcategory,Use_Type,Use_Status,Density,Unit,Notes
42,MAP_1,Public Services,General,Publicly Owned Assembly and Entertainment,Conditional Use,,NA,NA
43,MAP_1,Public Services,General,Collection Stations,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
85,MAP_2,Commercial,Services,Sales Lots,Conditional Use,,NA,NA
88,MAP_2,Commercial,Services,Secondary Storage,Conditional Use,,NA,NA
90,MAP_2,Commercial,Services,Laundries and Dry Cleaning Plant,Conditional Use,,NA,NA
45,MAP_1,Public Services,General,Public Utility Centers,Conditional Use,,NA,These uses are not allowed within the portion of the ground floor of a structure that faces the primary entry point for projects adjacent to US 50. This restriction may be waived if the Meyers Advisory Council and the Planning Commission find that the use is otherwise consistent with the intent of the Meyers Area Plan.
47,MAP_1,Public Services,General,Regional Public Health and Safety Facilities,Conditional Use,,NA,NA
49,MAP_1,Public Services,General,Hospitals,Conditional Use,,NA,NA
50,MAP_1,Public Services,General,Schools - College,Conditional Use,,NA,NA
52,MAP_1,Public Services,General,Schools - Kindergarten Through Secondary,Conditional Use,,NA,NA
55,MAP_1,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
56,MAP_1,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,Non-motorized public trails are a permitted use.
58,MAP_1,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Conditional Use,,NA,NA
60,MAP_1,Recreation,Recreation,Participant Sports Facilities,Conditional Use,,NA,NA
65,MAP_1,Recreation,Recreation,Group Facilities,Conditional Use,25,persons per acre,NA
66,MAP_1,Recreation,Recreation,Sport Assembly,Conditional Use,,NA,NA
68,MAP_2,Commercial,Retail,"Auto, Mobile Home and  Vehicle Dealers",Conditional Use,,NA,NA
73,MAP_2,Commercial,Retail,Outdoor Retail Sales,Conditional Use,,NA,NA
75,MAP_2,Commercial,Retail,Service Stations,Conditional Use,,NA,NA
93,MAP_2,Commercial,Light Industrial,Recycling and Scrap,Conditional Use,,NA,NA
95,MAP_2,Commercial,Light Industrial,Small Scale Manufacturing,Conditional Use,,NA,NA
96,MAP_2,Commercial,Light Industrial,Industrial Services,Conditional Use,,NA,NA
97,MAP_2,Commercial,Wholesale/Storage,Storage Yards,Conditional Use,,NA,NA
99,MAP_2,Commercial,Wholesale/Storage,Vehicle and Freight Terminals,Conditional Use,,NA,NA
104,MAP_2,Public Services,General,Cultural Facilities,Conditional Use,,NA,NA
105,MAP_2,Public Services,General,Public Utility Centers,Conditional Use,,NA,NA
106,MAP_2,Public Services,General,Day Care Centers/Pre-Schools,Conditional Use,,NA,NA
107,MAP_2,Public Services,General,Regional Public Health and Safety Facilities,Conditional Use,,NA,NA
108,MAP_2,Public Services,General,Government Offices,Conditional Use,,NA,NA
109,MAP_2,Public Services,General,Local Assembly and Entertainment,Conditional Use,,NA,NA
110,MAP_2,Public Services,General,Social Service Organizations,Conditional Use,,NA,NA
111,MAP_2,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
112,MAP_2,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,Non-motorized public trails are a permitted use.
114,MAP_2,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Conditional Use,,NA,NA
115,MAP_2,Recreation,Recreation,Outdoor Recreation Concessions,Conditional Use,,NA,NA
116,MAP_2,Recreation,Recreation,Participant Sports Facilities,Conditional Use,,NA,NA
119,MAP_2,Recreation,Recreation,Rural Sports,Conditional Use,,NA,NA
120,MAP_4,Residential,Residential,Employee Housing,Conditional Use,,NA,no employee housing density in area plan
121,MAP_4,Commercial,Retail,Nursery,Conditional Use,,NA,NA
122,MAP_4,Commercial,Entertainment,Amusements and Recreation Services,Conditional Use,,NA,NA
123,MAP_4,Commercial,Entertainment,Outdoor Amusements,Conditional Use,,NA,NA
124,MAP_4,Public Services,General,Local Public Health and Safety Facilities,Conditional Use,,NA,NA
125,MAP_4,Public Services,General,Publicly Owned Assembly and Entertainment,Conditional Use,,NA,NA
127,MAP_4,Public Services,General,Day Care Centers/Pre-Schools,Conditional Use,,NA,NA
129,MAP_4,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
130,MAP_4,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,Non-motorized public trails are a permitted use.
131,MAP_4,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
132,MAP_4,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Conditional Use,,NA,NA
136,MAP_4,Recreation,Recreation,Recreation Centers,Conditional Use,,NA,NA
138,MAP_4,Recreation,Recreation,Recreational Vehicle Parks,Conditional Use,10,sites per acre,NA
142,MAP_4,Recreation,Recreation,Golf Courses,Conditional Use,,NA,NA
143,MAP_4,Recreation,Recreation,Snowmobile Courses,Conditional Use,,NA,NA
147,PCAP_REC_64ACRE,Residential,Residential,Employee Housing,Minor Use,,NA,NA
148,PCAP_REC_64ACRE,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
149,PCAP_REC_64ACRE,Public Services,General,Publicly Owned Assembly and Entertainment,Conditional Use,,NA,NA
150,PCAP_REC_64ACRE,Public Services,General,Cultural Facilities,Allowed,,NA,NA
151,PCAP_REC_64ACRE,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
152,PCAP_REC_64ACRE,Public Services,General,Government Offices,Minor Use,,NA,NA
153,PCAP_REC_64ACRE,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
154,PCAP_REC_64ACRE,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
155,PCAP_REC_64ACRE,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
156,PCAP_REC_64ACRE,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Conditional Use,,NA,"Placer County Code, Section 17.56.060.F"
157,PCAP_REC_64ACRE,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
158,PCAP_REC_64ACRE,Recreation,Recreation,Outdoor Recreation Concessions,Allowed,,NA,NA
159,PCAP_REC_64ACRE,Recreation,Recreation,Boat Launching Facilities,Conditional Use,,NA,NA
160,PCAP_REC_64ACRE,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
161,PCAP_REC_64ACRE,Recreation,Recreation,Cross Country Ski Courses,Allowed,,NA,NA
162,PCAP_REC_64ACRE,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
163,PCAP_REC_64ACRE,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
164,PCAP_REC_64ACRE,Recreation,Recreation,Rural Sports,Minor Use,,NA,NA
165,PCAP_REC_64ACRE,Recreation,Recreation,Snowmobile Courses,Conditional Use,,NA,NA
166,PCAP_REC_64ACRE,Recreation,Recreation,Group Facilities,Minor Use,25,people per acre,NA
167,PCAP_REC_64ACRE,Recreation,Recreation,Marinas,Conditional Use,,NA,NA
168,PCAP_REC_64ACRE,Recreation,Recreation,Visitor Information Centers,Allowed,,NA,NA
169,PCAP_REC_64ACRE,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
170,PCAP_REC_64ACRE,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
171,PCAP_REC_64ACRE,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
172,PCAP_REC_64ACRE,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
173,PCAP_REC_64ACRE,Resource Management,Timber Management,Tree Farms,Minor Use,,NA,NA
174,PCAP_REC_64ACRE,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
175,PCAP_REC_64ACRE,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
176,PCAP_REC_64ACRE,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
177,PCAP_REC_64ACRE,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
178,PCAP_REC_64ACRE,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
179,PCAP_REC_64ACRE,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
180,PCAP_REC_64ACRE,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
181,PCAP_REC_64ACRE,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
182,PCAP_REC_64ACRE,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
183,PCAP_REC_64ACRE,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
184,PCAP_REC_64ACRE,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
185,PCAP_REC_64ACRE,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
186,PCAP_REC_64ACRE,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
187,PCAP_RES_ALPINE,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
188,PCAP_RES_ALPINE,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
189,PCAP_RES_ALPINE,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
190,PCAP_RES_ALPINE,Public Services,General,Day Care Centers/Pre-Schools,Minor Use,,NA,NA
191,PCAP_RES_ALPINE,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
192,PCAP_RES_ALPINE,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
193,PCAP_RES_ALPINE,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
194,PCAP_RES_ALPINE,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
195,PCAP_RES_ALPINE,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
196,PCAP_RES_ALPINE,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
197,PCAP_RES_ALPINE,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
198,PCAP_RES_ALPINE,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
199,PCAP_RES_ALPINE,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
200,PCAP_RES_ALPINE,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
201,PCAP_RES_ALPINE,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
202,PCAP_RES_ALPINE,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
203,PCAP_RES_ALPINE,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
204,PCAP_RES_ALPINE,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
205,PCAP_RES_ALPINE,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
206,PCAP_RES_ALPINE,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
207,PCAP_RES_ALPINE,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
208,PCAP_RES_ALPINE,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
209,PCAP_RES_ALPINE,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
210,PCAP_RES_ALPINE,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
211,PCAP_RES_ALPINE,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
212,PCAP_RES_ALPINE,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
213,PCAP_RES_ALPINE,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
214,PCAP_RES_ALPINE,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
215,PCAP_CONS_BLACKWOOD,Residential,Residential,Single Family Dwelling,Minor Use,1,unit per parcel,NA
216,PCAP_CONS_BLACKWOOD,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
217,PCAP_CONS_BLACKWOOD,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
218,PCAP_CONS_BLACKWOOD,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
219,PCAP_CONS_BLACKWOOD,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
220,PCAP_CONS_BLACKWOOD,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
221,PCAP_CONS_BLACKWOOD,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Conditional Use,,NA,"Placer County Code, Section 17.56.060.F"
222,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
223,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Boat Launching Facilities,Conditional Use,,NA,NA
224,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Cross Country Ski Courses,Minor Use,,NA,NA
225,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Day Use Areas,Minor Use,,NA,NA
226,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Developed Campgrounds,Conditional Use,8,sites per acre,NA
227,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
228,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Snowmobile Courses,Conditional Use,,NA,NA
229,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Marinas,Conditional Use,,NA,NA
230,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Undeveloped Campgrounds,Minor Use,,NA,NA
231,PCAP_CONS_BLACKWOOD,Recreation,Recreation,Off-Road Vehicle Courses,Conditional Use,,NA,NA
232,PCAP_CONS_BLACKWOOD,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
233,PCAP_CONS_BLACKWOOD,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
234,PCAP_CONS_BLACKWOOD,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
235,PCAP_CONS_BLACKWOOD,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
236,PCAP_CONS_BLACKWOOD,Resource Management,Timber Management,Tree Farms,Minor Use,,NA,NA
237,PCAP_CONS_BLACKWOOD,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
238,PCAP_CONS_BLACKWOOD,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
239,PCAP_CONS_BLACKWOOD,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
240,PCAP_CONS_BLACKWOOD,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
241,PCAP_CONS_BLACKWOOD,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
242,PCAP_CONS_BLACKWOOD,Resource Management,Range,Farm/Ranch Accessory Structures,Minor Use,,NA,NA
243,PCAP_CONS_BLACKWOOD,Resource Management,Range,Grazing,Minor Use,,NA,NA
244,PCAP_CONS_BLACKWOOD,Resource Management,Range,Range Improvement,Minor Use,,NA,NA
245,PCAP_CONS_BLACKWOOD,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
246,PCAP_CONS_BLACKWOOD,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
247,PCAP_CONS_BLACKWOOD,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
248,PCAP_CONS_BLACKWOOD,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
249,PCAP_CONS_BLACKWOOD,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
250,PCAP_CONS_BLACKWOOD,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
251,PCAP_CONS_BLACKWOOD,Resource Management,Open Space,Allowed in all Areas of the Region,Allowed,,NA,NA
252,PCAP_CONS_BLACKWOOD,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
253,PCAP_CONS_BLACKWOOD,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
254,PCAP_CONS_BLACKWOOD,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
255,PCAP_RES_BROCKWAY,Residential,Residential,Single Family Dwelling,Allowed,1,unit per parcel,NA
256,PCAP_RES_BROCKWAY,Tourist Accommodation,Tourist Accommodation,Bed and Breakfast Facilities,Conditional Use,10,units per acre,NA
257,PCAP_RES_BROCKWAY,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
258,PCAP_RES_BROCKWAY,Public Services,General,Religious Assembly,Minor Use,,NA,NA
259,PCAP_RES_BROCKWAY,Public Services,General,Public Utility Centers,Minor Use,,NA,NA
260,PCAP_RES_BROCKWAY,Public Services,General,Local Post Office,Minor Use,,NA,NA
261,PCAP_RES_BROCKWAY,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Conditional Use,,NA,NA
262,PCAP_RES_BROCKWAY,Public Services,Linear Public Facilities,Transportation Routes,Conditional Use,,NA,NA
263,PCAP_RES_BROCKWAY,Public Services,Linear Public Facilities,Transit Stations and Terminals,Conditional Use,,NA,NA
264,PCAP_RES_BROCKWAY,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
265,PCAP_RES_BROCKWAY,Recreation,Recreation,Beach Recreation,Allowed,,NA,NA
266,PCAP_RES_BROCKWAY,Recreation,Recreation,Participant Sports Facilities,Minor Use,,NA,NA
267,PCAP_RES_BROCKWAY,Recreation,Recreation,Day Use Areas,Allowed,,NA,NA
268,PCAP_RES_BROCKWAY,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
269,PCAP_RES_BROCKWAY,Recreation,Recreation,Temporary Events,Allowed,,NA,NA
270,PCAP_RES_BROCKWAY,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
271,PCAP_RES_BROCKWAY,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
272,PCAP_RES_BROCKWAY,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
273,PCAP_RES_BROCKWAY,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
274,PCAP_RES_BROCKWAY,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
275,PCAP_RES_BROCKWAY,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
276,PCAP_RES_BROCKWAY,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
277,PCAP_RES_BROCKWAY,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
278,PCAP_RES_BROCKWAY,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
279,PCAP_RES_BROCKWAY,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
280,PCAP_RES_BROCKWAY,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
281,PCAP_RES_BROCKWAY,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
282,PCAP_RES_BROCKWAY,Resource Management,Vegetation Protection,Insect and Disease Suppression,Allowed,,NA,NA
283,PCAP_RES_BROCKWAY,Resource Management,Vegetation Protection,Uncommon Plant Community Management,Allowed,,NA,NA
284,PCAP_RES_BROCKWAY,Resource Management,Watershed Improvements,Erosion Control,Allowed,,NA,NA
285,PCAP_RES_BROCKWAY,Resource Management,Watershed Improvements,Stream Environmental Zone (SEZ) Restoration,Allowed,,NA,NA
286,PCAP_RES_BROCKWAY,Resource Management,Watershed Improvements,Runoff Control,Allowed,,NA,NA
287,PCAP_CONS_BURTON,Residential,Residential,Employee Housing,Minor Use,4,multi-residential housing units,for employee housing associated with State Park lands
288,PCAP_CONS_BURTON,Residential,Residential,Single Family Dwelling,Minor Use,1,unit per parcel,NA
289,PCAP_CONS_BURTON,Residential,Residential,Summer Home,Minor Use,1,unit per parcel,NA
290,PCAP_CONS_BURTON,Commercial,Retail,Nursery,Minor Use,,NA,NA
291,PCAP_CONS_BURTON,Public Services,General,Local Public Health and Safety Facilities,Minor Use,,NA,NA
292,PCAP_CONS_BURTON,Public Services,General,Cemetery,Minor Use,,NA,NA
293,PCAP_CONS_BURTON,Public Services,Linear Public Facilities,Pipelines and Power Transmission,Minor Use,,NA,NA
294,PCAP_CONS_BURTON,Public Services,Linear Public Facilities,Transportation Routes,Minor Use,,NA,NA
295,PCAP_CONS_BURTON,Public Services,Linear Public Facilities,Transit Stations and Terminals,Minor Use,,NA,NA
296,PCAP_CONS_BURTON,Public Services,Linear Public Facilities,Transmission and Receiving Facilities,Minor Use,,NA,"Placer County Code, Section 17.56.060.F"
297,PCAP_CONS_BURTON,Recreation,Recreation,Outdoor Recreation Concessions,Minor Use,,NA,NA
298,PCAP_CONS_BURTON,Recreation,Recreation,Cross Country Ski Courses,Minor Use,,NA,NA
299,PCAP_CONS_BURTON,Recreation,Recreation,Day Use Areas,Minor Use,,NA,NA
300,PCAP_CONS_BURTON,Recreation,Recreation,Developed Campgrounds,Conditional Use,,NA,NA
301,PCAP_CONS_BURTON,Recreation,Recreation,Riding and Hiking Trails,Allowed,,NA,NA
302,PCAP_CONS_BURTON,Recreation,Recreation,Rural Sports,Conditional Use,,NA,NA
303,PCAP_CONS_BURTON,Recreation,Recreation,Snowmobile Courses,Conditional Use,,NA,NA
304,PCAP_CONS_BURTON,Recreation,Recreation,Group Facilities,Minor Use,25,persons per acre,NA
305,PCAP_CONS_BURTON,Recreation,Recreation,Undeveloped Campgrounds,Minor Use,,NA,NA
306,PCAP_CONS_BURTON,Recreation,Recreation,Off-Road Vehicle Courses,Conditional Use,,NA,NA
307,PCAP_CONS_BURTON,Resource Management,Timber Management,Reforestation,Allowed,,NA,NA
308,PCAP_CONS_BURTON,Resource Management,Timber Management,Special Cut,Allowed,,NA,NA
309,PCAP_CONS_BURTON,Resource Management,Timber Management,Regeneration Harvest,Allowed,,NA,NA
310,PCAP_CONS_BURTON,Resource Management,Timber Management,Thinning,Allowed,,NA,NA
311,PCAP_CONS_BURTON,Resource Management,Timber Management,Sanitation Salvage Cut,Allowed,,NA,NA
312,PCAP_CONS_BURTON,Resource Management,Timber Management,Timber Stand Improvement,Allowed,,NA,NA
313,PCAP_CONS_BURTON,Resource Management,Timber Management,Selection Cut,Allowed,,NA,NA
314,PCAP_CONS_BURTON,Resource Management,Timber Management,Tree Farms,Minor Use,,NA,NA
315,PCAP_CONS_BURTON,Resource Management,Wildlife And Fishes,Early Successional Vegetation Management,Allowed,,NA,NA
316,PCAP_CONS_BURTON,Resource Management,Wildlife And Fishes,Structural Fish Habitat Management,Allowed,,NA,NA
317,PCAP_CONS_BURTON,Resource Management,Wildlife And Fishes,Nonstructural Fish Habitat Management,Allowed,,NA,NA
318,PCAP_CONS_BURTON,Resource Management,Wildlife And Fishes,Structural Wildlife Habitat Management,Allowed,,NA,NA
319,PCAP_CONS_BURTON,Resource Management,Wildlife And Fishes,Nonstructural Wildlife Habitat Management,Allowed,,NA,NA
320,PCAP_CONS_BURTON,Resource Management,Range,Farm/Ranch Accessory Structures,Minor Use,,NA,NA
321,PCAP_CONS_BURTON,Resource Management,Range,Grazing,Minor Use,,NA,NA
322,PCAP_CONS_BURTON,Resource Management,Range,Ranch Pasture Management,Allowed,,NA,NA
323,PCAP_CONS_BURTON,Resource Management,Range,Range Improvement,Allowed,,NA,NA
324,PCAP_CONS_BURTON,Resource Management,Vegetation Protection,Fire Detection and Suppression,Allowed,,NA,NA
325,PCAP_CONS_BURTON,Resource Management,Vegetation Protection,Prescribed Fire/Burning Management,Allowed,,NA,NA
326,PCAP_CONS_BURTON,Resource Management,Vegetation Protection,Fuels Treatment Management,Allowed,,NA,NA
327,PCAP_CONS_BURTON,Resource Management,Vegetation Protection,Sensitive Plant Management,Allowed,,NA,NA
