"","ZONING_ID","old_id","use","use_final","use1","use2","use3","density_num","density_unit","note"
"60","MAP_1_SA2","area_plan_1","Special Use","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"61","MAP_1_SA2","area_plan_1","Allowed","Cross country ski courses","recreation","Recreation","Cross country ski courses",NA,NA,NA
"62","MAP_1_SA2","area_plan_1","Allowed","Recreation centers","recreation","Recreation","Recreation centers",NA,NA,NA
"63","MAP_1_SA2","area_plan_1","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"64","MAP_1_SA2","area_plan_1","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"65","MAP_1_SA2","area_plan_1","Special Use","Group facilities","recreation","Recreation","Group facilities",25,"persons per acre per parcel",NA
"66","MAP_1_SA2","area_plan_1","Special Use","Sport assembly","recreation","Recreation","Sport assembly",NA,NA,NA
"67","MAP_1_SA2","area_plan_1","Allowed","Visitor information centers","recreation","Recreation","Visitor information centers",NA,NA,NA
"68","MAP_2_SA4","area_plan_2","Special Use","Auto, mobile home, and  vehicle dealers","commercial","Retail","Auto, mobile home, and  vehicle dealers",NA,NA,NA
"69","MAP_2_SA4","area_plan_2","Allowed","General merchandise stores","commercial","Retail","General merchandise stores",NA,NA,NA
"70","MAP_2_SA4","area_plan_2","Allowed","Mail order and vending","commercial","Retail","Mail order and vending",NA,NA,NA
"71","MAP_2_SA4","area_plan_2","Allowed","Building materials and hardware","commercial","Retail","Building materials and hardware",NA,NA,NA
"72","MAP_2_SA4","area_plan_2","Allowed","Nursery","commercial","Retail","Nursery",NA,NA,NA
"73","MAP_2_SA4","area_plan_2","Special Use","Outdoor retail sales","commercial","Retail","Outdoor retail sales",NA,NA,NA
"74","MAP_2_SA4","area_plan_2","Allowed","Eating and drinking places","commercial","Retail","Eating and drinking places",NA,NA,NA
"75","MAP_2_SA4","area_plan_2","Special Use","Service stations","commercial","Retail","Service stations",NA,NA,NA
"76","MAP_2_SA4","area_plan_2","Allowed","Food and beverage retail sales","commercial","Retail","Food and beverage retail sales",NA,NA,NA
"77","MAP_2_SA4","area_plan_2","Allowed","Furniture, home furnishings, and equipment","commercial","Retail","Furniture, home furnishings, and equipment",NA,NA,NA
"78","MAP_2_SA4","area_plan_2","Allowed","Animal husbandry services","commercial","Services","Animal husbandry services",NA,NA,NA
"79","MAP_2_SA4","area_plan_2","Allowed","Personal services","commercial","Services","Personal services",NA,NA,NA
"80","MAP_2_SA4","area_plan_2","Allowed","Auto repair and service","commercial","Services","Auto repair and service",NA,NA,NA
"81","MAP_2_SA4","area_plan_2","Allowed","Professional offices","commercial","Services","Professional offices",NA,NA,NA
"82","MAP_2_SA4","area_plan_2","Allowed","Broadcasting studios","commercial","Services","Broadcasting studios",NA,NA,NA
"83","MAP_2_SA4","area_plan_2","Allowed","Repair services","commercial","Services","Repair services",NA,NA,NA
"84","MAP_2_SA4","area_plan_2","Allowed","Business support services","commercial","Services","Business support services",NA,NA,NA
"85","MAP_2_SA4","area_plan_2","Special Use","Sales lots","commercial","Services","Sales lots",NA,NA,NA
"86","MAP_2_SA4","area_plan_2","Allowed","Contract construction services","commercial","Services","Contract construction services",NA,NA,NA
"87","MAP_2_SA4","area_plan_2","Allowed","Financial services","commercial","Services","Financial services",NA,NA,NA
"88","MAP_2_SA4","area_plan_2","Special Use","Secondary storage","commercial","Services","Secondary storage",NA,NA,NA
"89","MAP_2_SA4","area_plan_2","Allowed","Health care services","commercial","Services","Health care services",NA,NA,NA
"90","MAP_2_SA4","area_plan_2","Special Use","Laundries and dry cleaning plants","commercial","Services","Laundries and dry cleaning plants",NA,NA,NA
"91","MAP_2_SA4","area_plan_2","Allowed","Printing and publishing","commercial","Light Industrial","Printing and publishing",NA,NA,NA
"92","MAP_2_SA4","area_plan_2","Allowed","Food and kindred products","commercial","Light Industrial","Food and kindred products",NA,NA,NA
"93","MAP_2_SA4","area_plan_2","Special Use","Recycling and scrap","commercial","Light Industrial","Recycling and scrap",NA,NA,NA
"94","MAP_2_SA4","area_plan_2","Allowed","Fuel and ice dealers","commercial","Light Industrial","Fuel and ice dealers",NA,NA,NA
"95","MAP_2_SA4","area_plan_2","Special Use","Small scale manufacturing","commercial","Light Industrial","Small scale manufacturing",NA,NA,NA
"96","MAP_2_SA4","area_plan_2","Special Use","Industrial services","commercial","Light Industrial","Industrial services",NA,NA,NA
"97","MAP_2_SA4","area_plan_2","Special Use","Storage yards","commercial","Wholesale/Storage","Storage yards",NA,NA,NA
"98","MAP_2_SA4","area_plan_2","Allowed","Warehousing","commercial","Wholesale/Storage","Warehousing",NA,NA,NA
"99","MAP_2_SA4","area_plan_2","Special Use","Vehicle and freight terminals","commercial","Wholesale/Storage","Vehicle and freight terminals",NA,NA,NA
"100","MAP_2_SA4","area_plan_2","Allowed","Wholesale and distribution","commercial","Wholesale/Storage","Wholesale and distribution",NA,NA,NA
"101","MAP_2_SA4","area_plan_2","Allowed","Vehicle storage and parking","commercial","Wholesale/Storage","Vehicle storage and parking",NA,NA,NA
"102","MAP_2_SA4","area_plan_2","Allowed","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"103","MAP_2_SA4","area_plan_2","Allowed","Collection stations","public services","General","Collection stations",NA,NA,NA
"104","MAP_2_SA4","area_plan_2","Special Use","Cultural facilities","public services","General","Cultural facilities",NA,NA,NA
"105","MAP_2_SA4","area_plan_2","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"106","MAP_2_SA4","area_plan_2","Special Use","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"107","MAP_2_SA4","area_plan_2","Special Use","Regional public health and safety facilities","public services","General","Regional public health and safety facilities",NA,NA,NA
"108","MAP_2_SA4","area_plan_2","Special Use","Government offices","public services","General","Government offices",NA,NA,NA
"109","MAP_2_SA4","area_plan_2","Special Use","Local assembly and entertainment","public services","General","Local assembly and entertainment",NA,NA,NA
"110","MAP_2_SA4","area_plan_2","Special Use","Social service organizations","public services","General","Social service organizations",NA,NA,NA
"111","MAP_2_SA4","area_plan_2","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"112","MAP_2_SA4","area_plan_2","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"113","MAP_2_SA4","area_plan_2","Allowed","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"114","MAP_2_SA4","area_plan_2","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"115","MAP_2_SA4","area_plan_2","Special Use","Outdoor recreation concessions","recreation","Recreation","Outdoor recreation concessions",NA,NA,NA
"116","MAP_2_SA4","area_plan_2","Special Use","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"117","MAP_2_SA4","area_plan_2","Allowed","Cross country ski courses","recreation","Recreation","Cross country ski courses",NA,NA,NA
"118","MAP_2_SA4","area_plan_2","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"119","MAP_2_SA4","area_plan_2","Special Use","Rural sports","recreation","Recreation","Rural sports",NA,NA,NA
"120","MAP_4","area_plan_3","Special Use","Employee housing","residential","Residential","Employee housing",NA,NA,"no employee housing density in area plan"
"121","MAP_4","area_plan_3","Special Use","Nursery","commercial","Retail","Nursery",NA,NA,NA
"122","MAP_4","area_plan_3","Special Use","Amusements and recreation services","commercial","Entertainment","Amusements and recreation services",NA,NA,NA
"123","MAP_4","area_plan_3","Special Use","Outdoor amusements","commercial","Entertainment","Outdoor amusements",NA,NA,NA
"124","MAP_4","area_plan_3","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"125","MAP_4","area_plan_3","Special Use","Publicly owned assembly and entertainment","public services","General","Publicly owned assembly and entertainment",NA,NA,NA
"126","MAP_4","area_plan_3","Allowed","Cultural facilities","public services","General","Cultural facilities",NA,NA,NA
"127","MAP_4","area_plan_3","Special Use","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"128","MAP_4","area_plan_3","Allowed","Local assembly and entertainment","public services","General","Local assembly and entertainment",NA,NA,NA
"129","MAP_4","area_plan_3","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"130","MAP_4","area_plan_3","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"131","MAP_4","area_plan_3","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"132","MAP_4","area_plan_3","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"133","MAP_4","area_plan_3","Allowed","Outdoor recreation concessions","recreation","Recreation","Outdoor recreation concessions",NA,NA,NA
"134","MAP_4","area_plan_3","Allowed","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"135","MAP_4","area_plan_3","Allowed","Cross country ski courses","recreation","Recreation","Cross country ski courses",NA,NA,NA
"136","MAP_4","area_plan_3","Special Use","Recreation centers","recreation","Recreation","Recreation centers",NA,NA,NA
"137","MAP_4","area_plan_3","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"138","MAP_4","area_plan_3","Special Use","Recreational vehicle parks","recreation","Recreation","Recreational vehicle parks",NA,NA,NA
"139","MAP_4","area_plan_3","Allowed","Developed campgrounds","recreation","Recreation","Developed campgrounds",NA,NA,NA
"140","MAP_4","area_plan_3","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"141","MAP_4","area_plan_3","Allowed","Rural sports","recreation","Recreation","Rural sports",NA,NA,NA
"142","MAP_4","area_plan_3","Special Use","Golf courses","recreation","Recreation","Golf courses",NA,NA,NA
"143","MAP_4","area_plan_3","Special Use","Snowmobile courses","recreation","Recreation","Snowmobile courses",NA,NA,NA
"144","MAP_4","area_plan_3","Allowed","Group facilities","recreation","Recreation","Group facilities",25,"persons per acre per parcel",NA
"145","MAP_4","area_plan_3","Allowed","Undeveloped campgrounds","recreation","Recreation","Undeveloped campgrounds",NA,NA,NA
"146","MAP_4","area_plan_3","Allowed","Visitor information centers","recreation","Recreation","Visitor information centers",NA,NA,NA
"147","PCAP_REC_64ACRE","area_plan_6","Special Use","Employee housing","residential","Residential","Employee housing",NA,NA,"no employee housing density in area plan"
"148","PCAP_REC_64ACRE","area_plan_6","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"149","PCAP_REC_64ACRE","area_plan_6","Special Use","Publicly owned assembly and entertainment","public services","General","Publicly owned assembly and entertainment",NA,NA,NA
"150","PCAP_REC_64ACRE","area_plan_6","Allowed","Cultural facilities","public services","General","Cultural facilities",NA,NA,NA
"151","PCAP_REC_64ACRE","area_plan_6","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"152","PCAP_REC_64ACRE","area_plan_6","Special Use","Government offices","public services","General","Government offices",NA,NA,NA
"153","PCAP_REC_64ACRE","area_plan_6","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"154","PCAP_REC_64ACRE","area_plan_6","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"155","PCAP_REC_64ACRE","area_plan_6","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"156","PCAP_REC_64ACRE","area_plan_6","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"157","PCAP_REC_64ACRE","area_plan_6","Allowed","Beach recreation","recreation","Recreation","Beach recreation",NA,NA,NA
"158","PCAP_REC_64ACRE","area_plan_6","Allowed","Outdoor recreation concessions","recreation","Recreation","Outdoor recreation concessions",NA,NA,NA
"159","PCAP_REC_64ACRE","area_plan_6","Special Use","Boat launching facilities","recreation","Recreation","Boat launching facilities",NA,NA,NA
"160","PCAP_REC_64ACRE","area_plan_6","Special Use","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"161","PCAP_REC_64ACRE","area_plan_6","Allowed","Cross country ski courses","recreation","Recreation","Cross country ski courses",NA,NA,NA
"162","PCAP_REC_64ACRE","area_plan_6","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"163","PCAP_REC_64ACRE","area_plan_6","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"164","PCAP_REC_64ACRE","area_plan_6","Special Use","Rural sports","recreation","Recreation","Rural sports",NA,NA,NA
"165","PCAP_REC_64ACRE","area_plan_6","Special Use","Snowmobile courses","recreation","Recreation","Snowmobile courses",NA,NA,NA
"166","PCAP_REC_64ACRE","area_plan_6","Special Use","Group facilities","recreation","Recreation","Group facilities",25,"units per acre per parcel",NA
"167","PCAP_REC_64ACRE","area_plan_6","Special Use","Marinas","recreation","Recreation","Marinas",NA,NA,NA
"168","PCAP_REC_64ACRE","area_plan_6","Allowed","Visitor information centers","recreation","Recreation","Visitor information centers",NA,NA,NA
"169","PCAP_REC_64ACRE","area_plan_6","Allowed","Reforestation","resource management","Timber Management","Reforestation",NA,NA,NA
"170","PCAP_REC_64ACRE","area_plan_6","Allowed","Special cut","resource management","Timber Management","Special cut",NA,NA,NA
"171","PCAP_REC_64ACRE","area_plan_6","Allowed","Thinning","resource management","Timber Management","Thinning",NA,NA,NA
"172","PCAP_REC_64ACRE","area_plan_6","Allowed","Sanitation salvage cut","resource management","Timber Management","Sanitation salvage cut",NA,NA,NA
"173","PCAP_REC_64ACRE","area_plan_6","Special Use","Tree farms","resource management","Timber Management","Tree farms",NA,NA,NA
"174","PCAP_REC_64ACRE","area_plan_6","Allowed","Early successional vegetation management","resource management","Wildlife And Fishes","Early successional vegetation management",NA,NA,NA
"175","PCAP_REC_64ACRE","area_plan_6","Allowed","Structural fish habitat management","resource management","Wildlife And Fishes","Structural fish habitat management",NA,NA,NA
"176","PCAP_REC_64ACRE","area_plan_6","Allowed","Nonstructural fish habitat management","resource management","Wildlife And Fishes","Nonstructural fish habitat management",NA,NA,NA
"177","PCAP_REC_64ACRE","area_plan_6","Allowed","Structural wildlife management","resource management","Wildlife And Fishes","Structural wildlife management",NA,NA,NA
"178","PCAP_REC_64ACRE","area_plan_6","Allowed","Nonstructural wildlife management","resource management","Wildlife And Fishes","Nonstructural wildlife management",NA,NA,NA
"179","PCAP_REC_64ACRE","area_plan_6","Allowed","Fire detection and suppression","resource management","Vegetation Protection","Fire detection and suppression",NA,NA,NA
"180","PCAP_REC_64ACRE","area_plan_6","Allowed","Fuels treatment / management","resource management","Vegetation Protection","Fuels treatment / management",NA,NA,NA
"181","PCAP_REC_64ACRE","area_plan_6","Allowed","Sensitive plant management","resource management","Vegetation Protection","Sensitive plant management",NA,NA,NA
"182","PCAP_REC_64ACRE","area_plan_6","Allowed","Insect and disease suppression","resource management","Vegetation Protection","Insect and disease suppression",NA,NA,NA
"183","PCAP_REC_64ACRE","area_plan_6","Allowed","Uncommon plant community management","resource management","Vegetation Protection","Uncommon plant community management",NA,NA,NA
"184","PCAP_REC_64ACRE","area_plan_6","Allowed","Open Space","resource management","Open Space","Open Space",NA,NA,NA
"185","PCAP_REC_64ACRE","area_plan_6","Allowed","Erosion control","resource management","Watershed Improvements","Erosion control",NA,NA,NA
"186","PCAP_REC_64ACRE","area_plan_6","Allowed","Stream environmental zone (SEZ) restoration","resource management","Watershed Improvements","Stream environmental zone (SEZ) restoration",NA,NA,NA
"187","PCAP_REC_64ACRE","area_plan_6","Allowed","Runoff control","resource management","Watershed Improvements","Runoff control",NA,NA,NA
"188","PCAP_RES_ALPINE","area_plan_7","Allowed","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"189","PCAP_RES_ALPINE","area_plan_7","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"190","PCAP_RES_ALPINE","area_plan_7","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"191","PCAP_RES_ALPINE","area_plan_7","Special Use","Day care centers / pre-schools","public services","General","Day care centers / pre-schools",NA,NA,NA
"192","PCAP_RES_ALPINE","area_plan_7","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"193","PCAP_RES_ALPINE","area_plan_7","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"194","PCAP_RES_ALPINE","area_plan_7","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
"195","PCAP_RES_ALPINE","area_plan_7","Special Use","Transmission and receiving facilities","public services","Linear Public Facilities","Transmission and receiving facilities",NA,NA,NA
"196","PCAP_RES_ALPINE","area_plan_7","Special Use","Participant sports facilities","recreation","Recreation","Participant sports facilities",NA,NA,NA
"197","PCAP_RES_ALPINE","area_plan_7","Allowed","Day use areas","recreation","Recreation","Day use areas",NA,NA,NA
"198","PCAP_RES_ALPINE","area_plan_7","Allowed","Riding and hiking trails","recreation","Recreation","Riding and hiking trails",NA,NA,NA
"199","PCAP_RES_ALPINE","area_plan_7","Allowed","Reforestation","resource management","Timber Management","Reforestation",NA,NA,NA
"200","PCAP_RES_ALPINE","area_plan_7","Allowed","Special cut","resource management","Timber Management","Special cut",NA,NA,NA
"201","PCAP_RES_ALPINE","area_plan_7","Allowed","Thinning","resource management","Timber Management","Thinning",NA,NA,NA
"202","PCAP_RES_ALPINE","area_plan_7","Allowed","Sanitation salvage cut","resource management","Timber Management","Sanitation salvage cut",NA,NA,NA
"203","PCAP_RES_ALPINE","area_plan_7","Allowed","Early successional vegetation management","resource management","Wildlife And Fishes","Early successional vegetation management",NA,NA,NA
"204","PCAP_RES_ALPINE","area_plan_7","Allowed","Structural fish habitat management","resource management","Wildlife And Fishes","Structural fish habitat management",NA,NA,NA
"205","PCAP_RES_ALPINE","area_plan_7","Allowed","Nonstructural fish habitat management","resource management","Wildlife And Fishes","Nonstructural fish habitat management",NA,NA,NA
"206","PCAP_RES_ALPINE","area_plan_7","Allowed","Structural wildlife management","resource management","Wildlife And Fishes","Structural wildlife management",NA,NA,NA
"207","PCAP_RES_ALPINE","area_plan_7","Allowed","Nonstructural wildlife management","resource management","Wildlife And Fishes","Nonstructural wildlife management",NA,NA,NA
"208","PCAP_RES_ALPINE","area_plan_7","Allowed","Fire detection and suppression","resource management","Vegetation Protection","Fire detection and suppression",NA,NA,NA
"209","PCAP_RES_ALPINE","area_plan_7","Allowed","Fuels treatment / management","resource management","Vegetation Protection","Fuels treatment / management",NA,NA,NA
"210","PCAP_RES_ALPINE","area_plan_7","Allowed","Sensitive plant management","resource management","Vegetation Protection","Sensitive plant management",NA,NA,NA
"211","PCAP_RES_ALPINE","area_plan_7","Allowed","Insect and disease suppression","resource management","Vegetation Protection","Insect and disease suppression",NA,NA,NA
"212","PCAP_RES_ALPINE","area_plan_7","Allowed","Uncommon plant community management","resource management","Vegetation Protection","Uncommon plant community management",NA,NA,NA
"213","PCAP_RES_ALPINE","area_plan_7","Allowed","Open Space","resource management","Open Space","Open Space",NA,NA,NA
"214","PCAP_RES_ALPINE","area_plan_7","Allowed","Erosion control","resource management","Watershed Improvements","Erosion control",NA,NA,NA
"215","PCAP_RES_ALPINE","area_plan_7","Allowed","Stream environmental zone (SEZ) restoration","resource management","Watershed Improvements","Stream environmental zone (SEZ) restoration",NA,NA,NA
"216","PCAP_RES_ALPINE","area_plan_7","Allowed","Runoff control","resource management","Watershed Improvements","Runoff control",NA,NA,NA
"217","PCAP_CONS_BLACKWOOD","area_plan_8","Special Use","Single family dwelling","residential","Residential","Single family dwelling",1,"units per acre per parcel",NA
"218","PCAP_CONS_BLACKWOOD","area_plan_8","Special Use","Local public health and safety facilities","public services","General","Local public health and safety facilities",NA,NA,NA
"219","PCAP_CONS_BLACKWOOD","area_plan_8","Special Use","Public utility centers","public services","General","Public utility centers",NA,NA,NA
"220","PCAP_CONS_BLACKWOOD","area_plan_8","Special Use","Pipelines and power transmission","public services","Linear Public Facilities","Pipelines and power transmission",NA,NA,NA
"221","PCAP_CONS_BLACKWOOD","area_plan_8","Special Use","Transportation routes","public services","Linear Public Facilities","Transportation routes",NA,NA,NA
"222","PCAP_CONS_BLACKWOOD","area_plan_8","Special Use","Transit stations and terminals","public services","Linear Public Facilities","Transit stations and terminals",NA,NA,NA
